"","Sales","CompPrice","Income","Advertising","Population","Price","ShelveLoc","Age","Education","Urban","US"
"1",9.5,138,73,11,276,120,"Bad",42,17,"Yes","Yes"
"2",11.22,111,48,16,260,83,"Good",65,10,"Yes","Yes"
"3",10.06,113,35,10,269,80,"Medium",59,12,"Yes","Yes"
"4",7.4,117,100,5,466,97,"Medium",55,14,"Yes","Yes"
"5",4.15,98,64,3,340,89,"Bad",38,13,"Yes","No"
"6",10.81,124,113,13,501,72,"Bad",78,16,"No","Yes"
"7",6.63,80,105,0,45,75,"Medium",71,15,"Yes","No"
"8",11.85,136,81,15,425,120,"Good",67,10,"Yes","Yes"
"9",6.54,92,110,0,108,86,"Medium",76,10,"No","No"
"10",4.69,132,113,0,131,124,"Medium",76,17,"No","Yes"
"12",11.96,117,94,4,503,94,"Good",50,13,"Yes","Yes"
"13",3.98,85,35,2,393,94,"Medium",62,18,"Yes","No"
"14",10.96,115,28,11,29,86,"Good",53,18,"Yes","Yes"
"17",7.58,82,32,0,284,76,"Good",63,13,"Yes","No"
"18",12.29,147,74,13,251,131,"Good",52,10,"Yes","Yes"
"19",13.91,110,110,0,408,68,"Good",46,17,"No","Yes"
"20",8.73,129,76,16,58,121,"Medium",69,12,"Yes","Yes"
"21",6.41,125,90,2,367,131,"Medium",35,18,"Yes","Yes"
"22",12.13,134,29,12,239,109,"Good",62,18,"No","Yes"
"23",5.08,89,46,6,497,96,"Medium",42,13,"Yes","No"
"24",5.87,84,31,0,292,75,"Medium",79,10,"Yes","No"
"25",10.14,145,119,16,294,113,"Bad",42,12,"Yes","Yes"
"26",8.49,96,32,0,176,57,"Good",54,11,"No","No"
"27",8.33,107,115,11,496,131,"Good",50,11,"No","Yes"
"28",5.27,68,118,0,19,74,"Medium",64,17,"Yes","No"
"29",2.99,103,74,0,359,97,"Bad",55,11,"Yes","Yes"
"30",7.81,104,99,15,226,102,"Bad",58,17,"Yes","Yes"
"32",8.25,136,58,16,241,131,"Medium",44,18,"Yes","Yes"
"33",6.2,107,32,12,236,137,"Good",64,10,"No","Yes"
"34",8.77,114,38,13,317,128,"Good",50,16,"Yes","Yes"
"35",2.67,115,54,0,406,128,"Medium",42,17,"Yes","Yes"
"36",11.07,131,84,11,29,96,"Medium",44,17,"No","Yes"
"37",8.89,85,76,0,270,69,"Good",60,18,"No","No"
"38",4.95,121,41,6,412,110,"Medium",54,10,"Yes","Yes"
"39",6.59,75,73,0,454,71,"Medium",65,15,"Yes","No"
"40",3.24,90,60,0,144,96,"Bad",38,10,"No","No"
"41",2.07,82,98,0,18,87,"Bad",73,17,"No","No"
"42",7.96,109,53,0,403,86,"Bad",58,16,"Yes","No"
"44",4.12,123,42,11,16,134,"Medium",59,13,"Yes","Yes"
"45",4.16,85,79,6,325,95,"Medium",69,13,"Yes","Yes"
"46",4.56,141,63,0,168,135,"Bad",44,12,"Yes","Yes"
"47",12.44,127,90,14,16,70,"Medium",48,15,"No","Yes"
"48",4.38,87,98,0,173,75,"Bad",55,16,"Yes","No"
"49",3.91,80,52,0,349,68,"Bad",69,18,"Yes","No"
"50",6.49,109,93,0,51,103,"Good",32,17,"Yes","No"
"51",1.42,99,32,18,341,108,"Bad",80,16,"Yes","Yes"
"53",7.91,153,40,3,112,129,"Bad",39,18,"Yes","Yes"
"54",6.92,109,64,13,39,119,"Medium",61,17,"Yes","Yes"
"55",4.9,134,103,13,25,144,"Medium",76,17,"No","Yes"
"56",6.85,143,81,5,60,154,"Medium",61,18,"Yes","Yes"
"57",11.91,92,82,0,54,58,"Medium",50,17,"Yes","No"
"59",5.42,103,93,15,188,103,"Bad",74,16,"Yes","Yes"
"61",8.32,122,102,19,469,123,"Bad",29,13,"Yes","Yes"
"62",7.32,73,32,1,358,74,"Medium",26,13,"No","No"
"63",1.82,139,45,0,146,133,"Bad",77,17,"Yes","Yes"
"65",7.8,100,67,12,184,104,"Medium",32,16,"No","Yes"
"66",4.9,85,26,0,197,89,"Medium",55,13,"No","No"
"67",8.85,88,92,0,508,63,"Medium",56,18,"Yes","No"
"69",13.39,149,69,20,366,134,"Good",60,13,"Yes","Yes"
"70",7.99,88,59,0,339,69,"Medium",65,12,"Yes","No"
"71",9.46,89,81,15,237,99,"Good",74,12,"Yes","Yes"
"72",6.5,148,51,16,148,150,"Medium",58,17,"No","Yes"
"73",5.52,80,45,0,432,80,"Medium",25,15,"Yes","No"
"74",12.61,118,90,10,54,104,"Good",31,11,"No","Yes"
"76",8.55,88,111,23,480,92,"Bad",36,16,"No","Yes"
"77",10.64,102,87,10,346,70,"Medium",64,15,"Yes","Yes"
"78",7.7,118,71,12,44,89,"Medium",67,18,"No","Yes"
"79",4.43,134,48,1,139,145,"Medium",65,12,"Yes","Yes"
"81",8.01,113,100,16,353,79,"Bad",68,11,"Yes","Yes"
"82",7.52,80,72,0,237,89,"Good",70,13,"Yes","No"
"83",11.62,151,83,5,325,139,"Good",28,17,"Yes","Yes"
"84",4.42,109,36,7,468,94,"Bad",56,11,"Yes","Yes"
"85",2.23,77,25,0,52,84,"Bad",43,18,"No","No"
"86",8.47,87,103,0,304,78,"Medium",49,13,"No","No"
"87",8.7,104,84,9,432,93,"Medium",64,15,"Yes","No"
"88",11.7,131,67,7,272,126,"Good",54,16,"No","Yes"
"89",6.56,117,42,7,144,111,"Medium",62,10,"Yes","Yes"
"90",7.95,89,66,3,493,82,"Medium",45,16,"No","No"
"91",5.33,80,22,0,491,71,"Medium",64,11,"No","No"
"92",4.81,97,46,11,267,107,"Medium",80,15,"Yes","Yes"
"93",4.53,79,113,0,97,87,"Medium",29,12,"Yes","No"
"94",8.86,101,30,0,67,72,"Medium",55,17,"Yes","No"
"96",5.58,134,25,10,237,148,"Medium",59,13,"Yes","Yes"
"97",9.48,147,42,10,407,132,"Good",73,16,"No","Yes"
